IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
DDR1,3736.9,3811,3699.6,3897.6,3917.4,3656.9,3827.4,3329.9,3455.6,3345.8,3455.9,3810,3331.3,3328.2,3136.7,4988.8,4126.2,4090.8,3831.9
RFC2,343,500.3,288.3,341.3,285.4,361.4,329.6,296.4,383.5,325.2,438.3,355.5,328.7,330.9,361.8,359.3,477.6,296.8,223
HSPA6,120.9,34.3,145.8,110.5,142.7,72.3,98.8,74.2,117.2,79.9,109,96.4,60.8,171.1,93.8,80.4,59.1,49.8,111.1
PAX8,1523.8,1281.1,1281.9,1493.4,1791.9,1415.3,1415.9,1559.9,1685,1504.6,1525.6,1504.4,1450.7,1670.8,1444.5,1503.7,1592.8,1558.6,1621.1
GUCA1A,51.6,15.9,45.9,8.1,61.3,33,23.9,21.1,9.3,38.5,49.1,32.6,29.8,67.3,77,39.1,40.2,51.8,54.6
UBA7,253.2,164.8,200,205.2,374.5,245.9,241.7,231.4,395.9,241.3,253,250.5,350.9,329.4,276.5,261.4,190.3,135.4,225.2
THRA,199.6,250.7,290.3,218.6,226.5,165,116.2,152.3,139.8,191.9,138.1,151,160.9,167.6,185.9,166.4,118.1,183.7,133
PTPN21,81.7,13.4,13.9,88.7,118.8,15.7,23,10.5,102.2,93.9,19.9,47.9,54.9,104,30.8,37.9,24.6,45.6,20.4
CCL5,18.9,5.6,11,9.5,26.1,14.2,8.4,8.2,9.1,6.5,11.6,45.5,7.2,15.1,34.6,12.5,11.8,10.5,14.7
CYP2E1,99.7,74.5,72.6,114.8,114.2,66.2,80.3,81.4,81.7,92.7,82.3,44.8,81.3,85.2,71.7,46.4,47.4,84,57.3
EPHB3,107.8,84.7,79.1,39.5,73,140.8,69.2,46.7,137,148.7,103.5,60,32.3,117.7,103.8,166.2,76.1,88.4,69.7
