RecNumber 	 Label 	 Fat 	 Lean 	 FreeWater 	 TimeDateDura 	 Accumulation 	 TotalWater 	 Weight 	 CentFreq 	 Comments
1	78	2.789	20.897	0	" 14:56:20 Oct 20, 2014;  48 "	1	0	28	2198.45	1
3	78	2.833	20.863	0	" 14:58:19 Oct 20, 2014;  48 "	1	0	28	2198.45	3
4	80	5.4	20.736	0	" 14:59:55 Oct 20, 2014;  48 "	1	0	30	2198.42	1
5	80	5.496	20.348	0	" 15:00:52 Oct 20, 2014;  48 "	1	0	30	2198.46	2
6	80	5.441	20.346	0	" 15:01:47 Oct 20, 2014;  48 "	1	0	30	2198.46	3
7	81	2.814	15.671	0	" 15:03:27 Oct 20, 2014;  60 "	1	0	21.8	2198.4	1
8	81	2.396	15.582	0	" 15:04:37 Oct 20, 2014;  48 "	1	0	21.8	2198.4	2
9	81	1.798	16.797	0	" 15:05:41 Oct 20, 2014;  48 "	1	0	21.8	2198.4	3
10	56	2.446	18.35	0	" 15:07:37 Oct 20, 2014;  49 "	1	0	24.6	2198.4	1
11	56	2.404	18.521	0	" 15:08:37 Oct 20, 2014;  48 "	1	0	24.6	2198.4	2
12	56	2.412	18.511	0	" 15:09:35 Oct 20, 2014;  49 "	1	0	24.6	2198.4	3
13	72	3.919	17.683	0	" 15:11:23 Oct 20, 2014;  48 "	1	0	25.6	2198.41	1
14	72	4.173	16.907	0	" 15:12:21 Oct 20, 2014;  48 "	1	0	25.6	2198.4	2
15	72	3.927	17.754	0	" 15:13:17 Oct 20, 2014;  48 "	1	0	25.6	2198.4	3
16	82	3.284	16.574	0	" 15:14:31 Oct 20, 2014;  48 "	1	0	23.6	2198.41	1
17	82	3.358	16.559	0	" 15:15:26 Oct 20, 2014;  49 "	1	0	23.6	2198.41	2
19	75	4.359	18.454	0	" 15:17:38 Oct 20, 2014;  49 "	1	0	26.7	2198.41	1
20	75	4.299	18.485	0	" 15:18:35 Oct 20, 2014;  48 "	1	0	26.7	2198.41	2
21	75	4.391	18.417	0	" 15:19:30 Oct 20, 2014;  48 "	1	0	26.7	2198.41	3
22	71	2.269	16.679	0	" 15:20:39 Oct 20, 2014;  48 "	1	0	22.7	2198.41	1
23	71	2.042	16.808	0	" 15:21:34 Oct 20, 2014;  48 "	1	0	22.7	2198.41	2
24	71	2.23	16.762	0	" 15:22:29 Oct 20, 2014;  48 "	1	0	22.7	2198.41	3
25	73	2.837	17.355	0	" 15:23:41 Oct 20, 2014;  48 "	1	0	23.8	2198.36	1
26	73	2.705	17.549	0	" 15:24:39 Oct 20, 2014;  48 "	1	0	23.8	2198.36	2
27	73	2.79	17.466	0	" 15:25:34 Oct 20, 2014;  48 "	1	0	23.8	2198.36	3
29	74	3.711	17.635	0	" 15:27:41 Oct 20, 2014;  48 "	1	0	25.1	2198.39	2
30	74	3.764	17.579	0	" 15:28:40 Oct 20, 2014;  48 "	1	0	25.1	2198.39	3
31	70	3.628	17.461	0	" 15:29:53 Oct 20, 2014;  48 "	1	0	25	2198.39	1
32	70	3.47	17.696	0	" 15:30:51 Oct 20, 2014;  48 "	1	0	25	2198.39	2
33	70	3.465	17.716	0	" 15:31:46 Oct 20, 2014;  48 "	1	0	25	2198.38	3
34	66	5.025	18.009	0	" 15:40:08 Oct 20, 2014;  48 "	1	0	26.7	2198.38	1
35	66	5.034	18.016	0	" 15:41:02 Oct 20, 2014;  48 "	1	0	26.7	2198.39	2
36	66	5.015	18.07	0	" 15:41:57 Oct 20, 2014;  48 "	1	0	26.7	2198.39	3
37	68	4.268	17.636	0	" 15:43:16 Oct 20, 2014;  48 "	1	0	26.3	2198.38	1
38	68	4.48	17.846	0	" 15:44:16 Oct 20, 2014;  48 "	1	0	26.3	2198.38	2
39	68	4.454	17.896	0	" 15:45:10 Oct 20, 2014;  48 "	1	0	26.3	2198.38	3
40	65	4.446	20.409	0	" 15:46:21 Oct 20, 2014;  48 "	1	0	29.3	2198.3	1
41	65	4.488	20.36	0	" 15:47:19 Oct 20, 2014;  48 "	1	0	29.3	2198.3	2
42	65	4.46	20.419	0	" 15:48:13 Oct 20, 2014;  49 "	1	0	29.3	2198.3	3
43	67	4.977	18.069	0	" 15:49:28 Oct 20, 2014;  48 "	1	0	26.7	2198.35	1
44	67	5.074	18.02	0	" 15:50:28 Oct 20, 2014;  48 "	1	0	26.7	2198.35	2
45	67	5.077	18.058	0	" 15:51:24 Oct 20, 2014;  48 "	1	0	26.7	2198.35	3
46	64	3.063	17.208	0	" 15:52:32 Oct 20, 2014;  49 "	1	0	24.1	2198.34	1
48	64	3.079	16.398	0	" 15:54:30 Oct 20, 2014;  49 "	1	0	24.1	2198.34	3
51	57	4.247	20.433	0	" 15:57:31 Oct 20, 2014;  49 "	1	0	29	2198.37	3
52	57	4.274	20.457	0	" 15:58:50 Oct 20, 2014;  49 "	1	0	29	2198.36	4
53	57	4.23	20.519	0	" 15:59:46 Oct 20, 2014;  48 "	1	0	29	2198.37	5
54	58	5.291	19.107	0	" 16:07:19 Oct 20, 2014;  48 "	1	0	29.8	2198.35	1
55	58	5.141	20.231	0	" 16:08:14 Oct 20, 2014;  49 "	1	0	29.8	2198.34	2
56	58	5.09	20.322	0	" 16:09:10 Oct 20, 2014;  48 "	1	0	29.8	2198.34	3
57	61	3.217	16.762	0	" 16:10:19 Oct 20, 2014;  48 "	1	0	23.4	2198.29	1
58	61	3.251	16.74	0	" 16:11:15 Oct 20, 2014;  48 "	1	0	23.4	2198.29	2
59	61	3.22	16.787	0	" 16:12:12 Oct 20, 2014;  48 "	1	0	23.4	2198.3	3
60	59	3.821	18.832	0	" 16:13:23 Oct 20, 2014;  48 "	1	0	26.9	2198.3	1
61	59	3.748	19.163	0	" 16:14:18 Oct 20, 2014;  48 "	1	0	26.9	2198.3	2
62	59	3.788	19.123	0	" 16:15:13 Oct 20, 2014;  49 "	1	0	26.9	2198.3	3
63	62	3.548	17.784	0	" 16:16:22 Oct 20, 2014;  48 "	1	0	25	2198.25	1
64	62	3.584	17.757	0	" 16:17:17 Oct 20, 2014;  48 "	1	0	25	2198.25	2
65	62	3.57	17.819	0	" 16:18:26 Oct 20, 2014;  48 "	1	0	25	2198.24	3
66	63	4.17	17.886	0	" 16:19:41 Oct 20, 2014;  48 "	1	0	25.5	2198.28	1
67	63	3.959	18.187	0	" 16:20:40 Oct 20, 2014;  48 "	1	0	25.5	2198.27	2
68	63	3.719	18.589	0	" 16:21:38 Oct 20, 2014;  48 "	1	0	25.5	2198.27	3
